N° UNICO CONSECUTIVO DE IDENTIFICACION,ESTADO DEL ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,RAZON SOCIAL,NIT,REPRESENTANTE LEGAL,DIRECCION O UBICACION DEL ESTABLECIMIENTO,CONCEPTO SANITARIO VIGENTE,"LINEA SUBCATEGGORIA DE ALIMENTOS
(Productos elaborados o Procesados)"
252,1 ACTIVO,SANTANDER,BUCARAMANGA,DELGADO CARDENAS PABLO-LACTEOS SANTA ROSA DEL SUR SUCURSAL BUCARAMANGA,139241081,PABLO DELGADO CARDENAS,CR 18 No 65-108 BR LA VICTORIA,FAVORABLE,QUESOS FRESCOS
253,1 ACTIVO,SANTANDER,BUCARAMANGA,DURAN DURAN JESUS MARIA-INDULAC DEL ORIENTE,124565708,JESUS MARIA DURAN DURAN,CL 7 No 16-19 BR LOS COMUNEROS,FAVORABLE,QUESOS FRESCOS
254,1 ACTIVO,SANTANDER,BUCARAMANGA,CARREÑO MARTHA- EL FRUTAL COLOMBIANO DE EXTRACTOS Y FRUTOS SECOS,632935171,MARTHA CARREÑO,CR 23D No 107-30 BR PROVENZA,FAVORABLE,ESENCIAS PARA ELABORACIÓN DE HELADO
257,1 ACTIVO,SANTANDER,BUCARAMANGA,FABRICA DE HIELO FESTIVAL LTDA,8902081120,JUAN CARLOS ORDOÑEZ PARRA,CL 21 No 27-58 BR SAN ALONSO,FAVORABLE,HIELO
260,1 ACTIVO,SANTANDER,BUCARAMANGA,FRANCO DE MARQUEZ BEATRIZ-INDUSTRIAS PRINCESA Y REGIS,279117109,BEATRIZ FRANCO DE MARQUEZ,CR 30 No 33-69 BR LA AURORA,FAVORABLE,VINAGRE;ADITIVO (AROMATIZANTE)
261,1 ACTIVO,SANTANDER,BUCARAMANGA,FRESKALECHE SAS,8001147665,JAIME EDUARDO GOMEZ GOMEZ,KM 3 VI CHIMITA PQ INDUSTRIAL,FAVORABLE,"LECHE ULTRA ALTA TEMPERATURA UAT (UHT) LECHE LARGA VIDA;YOGUR;REFRESCOS DE AGUA;CREMA 
(NATA). ENTERAS O NO."
263,1 ACTIVO,SANTANDER,BUCARAMANGA,FRUEXCOL LTDA,9001366317,RENE JAIMES RIVERA,HACIENDA EL RUBI KM 9 + 100 M VDA SAN IGNACIO VI RIONEGRO,FAVORABLE,PULPAS DE FRUTAS
264,1 ACTIVO,SANTANDER,BUCARAMANGA,FRUTAS INDUSTRIALES DE SANTANDER SAS-FRUINSA SAS,9000990372,ANTONIO CALDERON ARIAS,PROVINCIA DE SOTO I BG 50,FAVORABLE,PULPAS DE FRUTAS
266,1 ACTIVO,SANTANDER,BUCARAMANGA,FULLER PINTO SA-CAFE DIAMANTE NEGRO,8600317863,JESUS MARTIN PINTO CASTELLANOS,CL 70 No 43W-310 KM 4 AU GIRON,FAVORABLE,CAFE TOSTADO Y MOLIDO
269,1 ACTIVO,SANTANDER,BUCARAMANGA,GARCIA AYALA BENILDA-PRODUCTOS ALIMENTICIOS CONUCOS,379420275,BENILDA GARCIA AYALA,CR 33B No 31A-04 BR QUINTA DANIA,FAVORABLE,EMPANADAS;OTROS ALIMENTOS COMPUESTOS
271,1 ACTIVO,SANTANDER,BUCARAMANGA,GARCIA GUTIERREZ LUZ HELENA-ARROCERA LA GRANJA,633050142,LUZ HELENA GARCIA GUTIERREZ,CR 16 No 22-26/22-42/22-44 BR ALARCON,FAVORABLE,ARROZ
272,1 ACTIVO,SANTANDER,BUCARAMANGA,GAVASSA Y CIA LTDA,8902004089,JORGE ANTONIO GAVASSA MORANTES,CL 20 No 12-50 BR GAITAN,FAVORABLE,PASTAS ALIMENTICIAS
276,1 ACTIVO,SANTANDER,BUCARAMANGA,GOMEZ GOMEZ CARLOS ALBERTO-LACTEOS VILLA AURORA,137225590,CARLOS ALBERTO GOMEZ GOMEZ,CL 8 No 22-27 BR COMUNEROS,FAVORABLE,QUESOS FRESCOS
278,1 ACTIVO,SANTANDER,BUCARAMANGA,GRANADOS SOLANO CARMEN MIREYA-DULCES DOÑA MIREYA,372324382,CARMEN MIREYA GRANADOS SOLANO,CR 23 No 34-66,FAVORABLE,MANJAR BLANCO;CARAMELOS BLANDOS
280,1 ACTIVO,SANTANDER,BUCARAMANGA,GRUPO ALIMENTICIO ALBA DEL FONCE SAS,8902094982,JORGE ANDRES HERNANDEZ HORMIGA,CL 23 No 10-60 BR GIRARDOT,FAVORABLE,GRANOS ENTEROS;HARINAS
281,1 ACTIVO,SANTANDER,BUCARAMANGA,GRUPO SAMSARA SAS,9005578169,OSCAR MORALES ANGULO,CR 35W No 71-48 BG 55 ET I ZN INDUSTRIAL PROVINCIA DE SOTO,FAVORABLE,DULCE CON LECHE;LECHE CONDENSADA;DULCES DE FRUTAS;OBLEA BASE
285,1 ACTIVO,SANTANDER,BUCARAMANGA,GUEVARA RODRIGUEZ HENRY PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO LACTEOS BETHEL,912750896,HENRY GUEVARA RODRIGUEZ,CL 31 No 24 – 23 BR CENTRO,FAVORABLE,QUESOS FRESCOS;YOGURT
287,1 ACTIVO,SANTANDER,BUCARAMANGA,GUTIERREZ DIAZ MARTHA ISABEL-PRODUCTOS TREZABOR,632969898,MARTHA ISABEL GUTIERREZ DIAZ,CR 6 No 23-32 BR GIRARDOT,FAVORABLE,"CONDIMENTOS;ESPECIAS;FRUTAS DESHIDRATADAS;FRUTOS DESHIDRATADOS (NUECES, MANIES Y SEMILLAS)"
288,1 ACTIVO,SANTANDER,BUCARAMANGA,HARINERA PARDO SA,8600051943,JOSE FERNANDO PARDO SANTAMARIA,CL 21 No 11-68 BR GAITAN,FAVORABLE,HARINA DE TRIGO FORTIFICADA
289,1 ACTIVO,SANTANDER,BUCARAMANGA,HELADOS OLARPICO SAS,8040161431,ANA ELIZABETH CORTEZ MARIN,CL 52 No 15-66 BR SAN MIGUEL,FAVORABLE,HELADOS DE LECHE;HELADOS DE AGUA
290,1 ACTIVO,SANTANDER,BUCARAMANGA,HELADOS SAN REMO LTDA,8040114243,CARLOS ALBERTO GANDUR CARDENAS,CL 39 No 20-67,FAVORABLE,HELADOS DE LECHE
293,1 ACTIVO,SANTANDER,BUCARAMANGA,HERNANDEZ JAIMES ROGELIO-RICURAS DEL TRIGO,138495382,ROGELIO HERNANDEZ JAIMES,CL 61 No 17A-23 BR RICAURTE,FAVORABLE,PAN
295,1 ACTIVO,SANTANDER,BUCARAMANGA,HIELO NEVADO LTDA,8002122363,GONZALO REY LEON,AV QUEBRADASECA No 12-64 BR CENTRO,FAVORABLE,HIELO
297,1 ACTIVO,SANTANDER,BUCARAMANGA,ICOPAN SAS,8902004680,ELSA TRILLOS SIERRA,CR 20 No 14-36 BR SAN FRANCISCO,FAVORABLE,PAN
299,1 ACTIVO,SANTANDER,BUCARAMANGA,INDULACTEOS DE COLOMBIA SAS,9005799305,DIANA CAROLINA PINTO MAYORGA,CR 17C No 57-28 BR RICAUTE,FAVORABLE,MEZCLAS LACTEAS EN POLVO
300,1 ACTIVO,SANTANDER,BUCARAMANGA,INDUNILO SAS,8040098336,JORGE EMIRO ARCINIEGAS ARCINIEGAS,CL 73 No 41W-250 LT 16-17 PQ INDUSTRIAL PROVINCIA DE SOTO II BR EL BUENO,FAVORABLE,LECHE UHT;LECHE EN POLVO;MEZCLAS LACTEAS EN POLVO
301,1 ACTIVO,SANTANDER,BUCARAMANGA,INDUSTRIA DE ALIMENTOS DE SANTANDER SAS INDELSAN,9004921218,AMY VALENTINA SANABRIA RINCON,MZ G PQ INDUSTRIAL DE BUCARAMANGA ET II SC FORJAS KM 7 LT 1,FAVORABLE,CHOCOLATE DE MESA
302,1 ACTIVO,SANTANDER,BUCARAMANGA,INDUSTRIA DE ALIMENTOS DEL FONCE SA,9002782891,BERTHO CHAPARRO GUALDRON,CR 17A No 60-27/25,FAVORABLE,PAN
304,1 ACTIVO,SANTANDER,BUCARAMANGA,INDUSTRIA NACIONAL DE GASEOSAS SA,8902009760,SHAYRA PATRICIA VELEZ CARVAJAL,KM 2 VI GIRON,FAVORABLE,AGUA POTABLE TRATADA;BEBIDAS GASEOSAS
305,1 ACTIVO,SANTANDER,BUCARAMANGA,INDUSTRIA NACIONAL DE SNACKS SAS,9007431398,MARIA FULVIA RUIZ DE GONZALEZ,CL 50 No 23-32 BR CONCORDIA,FAVORABLE,SNACKS
306,1 ACTIVO,SANTANDER,BUCARAMANGA,INDUSTRIAS ALIMENTICIAS ORNELO SAS,9005990930,OSCAR LEONARDO PLATA SERRANO,CL 73 No 41W-96 PROVINCIA DE SOTO 2 BG 22 Y 23,FAVORABLE,PAN
308,1 ACTIVO,SANTANDER,BUCARAMANGA,INDUSTRIAS REGIO SAS,8001042321,EUGENIO SERRANO GONZALEZ,CL 8 No 18-43 BR COMUNEROS,FAVORABLE,VINAGRE;SABORIZANTES
310,1 ACTIVO,SANTANDER,BUCARAMANGA,INVERSIONES NEVADA LTDA,8902041281,JUAN MANUEL SERRANO PINILLA,CL 85 No 25-118 BR DIAMANTE II,FAVORABLE,PANADERIA DULCE
311,1 ACTIVO,SANTANDER,BUCARAMANGA,INVERSIONES RESTREPO LTDA-ARROCERA SANTANDER,8040098257,HIGINIO RESTREPO JAIMES,CL 5 No 13-41,FAVORABLE,ARROZ
314,1 ACTIVO,SANTANDER,BUCARAMANGA,JAVIER MURILLO MARIN,56197376,JAVIER MURILLO MARIN,CL 89A No 17C-30 BR SAN LUIS,FAVORABLE,AREPAS
315,1 ACTIVO,SANTANDER,BUCARAMANGA,JIMENEZ GALVIS ALVARO - COLACIONES EL MANJAR,138072854,ALVARO JIMENEZ GALVIS,CL 65 No 21-19 BR LA VICTORIA,FAVORABLE,PANADERIA DULCE;SNACKS
323,1 ACTIVO,SANTANDER,BUCARAMANGA,MANTILLA VILLAMIZAR CLAUDIA YANETH-PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO FABRICA DE HIELO LOS PINGUINOS,633656741,CLAUDIA YANETH MANTILLA VILLAMIZAR,CL 28 No 15-39 BR NUEVA GRANADA-CENTRO,FAVORABLE,HIELO
328,1 ACTIVO,SANTANDER,BUCARAMANGA,MECON HERNANDEZ VICTOR GUILLERMO–BODEGA SUPER ABASTOS,138468828,VICTOR GUILLERMO MECON HERNANDEZ,CENTRO ABASTOS BG 14 LC 8 BR CHIMITA,FAVORABLE,REEMPAQUE DE AZUCAR BLANCO
331,1 ACTIVO,SANTANDER,BUCARAMANGA,MEZA DIAZ GLADYS-DELICIAS KROKANTES,633159654,GLADYS MEZA DIAZ,CL 51A No 16-157 BR SAN MIGUEL,FAVORABLE,SNACKS
333,1 ACTIVO,SANTANDER,BUCARAMANGA,MOLINO LA HOGAREÑA SAS,8040040685,LUCIO OSCARDY VILLAMIZAR VILLAMIZAR,CL 6 No 12-42 BR SAN RAFAEL,FAVORABLE,HARINAS;GRANOS ENTEROS
335,1 ACTIVO,SANTANDER,BUCARAMANGA,MOLINOS SAN MIGUEL SAS,8902043967,BLANCA SOFIA GARCIA MARTINEZ,VI CAFE MADRID No 2-60,FAVORABLE,"PRODUCTOS DEL GRUPO 6 ENRIQUECIDOS, FORTIFICADOS O ADICIONADOS DE NUTRIENTES O MICRONUTRIENTES"
338,1 ACTIVO,SANTANDER,BUCARAMANGA,NEO FRUT SAS,8902122496,LUIS ARMANDO BARRERA TORRES,BG 12 MD 25 CENTRO ABASTOS ZN INDUSTRIAL,FAVORABLE,PULPAS DE FRUTAS;REFRESCOS DE FRUTA
339,1 ACTIVO,SANTANDER,BUCARAMANGA,NUÑEZ LOPEZ GUSTAVO ADOLFO-PATACONES,912427891,GUSTAVO ADOLFO NUÑEZ LOPEZ,CL 56 No 28-26 BR MERCEDES,FAVORABLE,VEGETALES FRESCOS
340,1 ACTIVO,SANTANDER,BUCARAMANGA,NUTRIMED LTDA PROCESADORA Y COMERCIALIZADORA DE PRODUCTOS NATURALES,9002486088,JOSE ANGEL AVELLANEDA BLANCO,CR 21 No 9-55 BR SAN FRANCISCO,FAVORABLE,ALIMENTO EN POLVO VARIEDADES;BEBIDAS SABORIZADAS.
341,1 ACTIVO,SANTANDER,BUCARAMANGA,OROZCO ORDOÑEZ LUIS-DE FRUTA,138405270,LUIS OROZCO ORDOÑEZ,CL 33 No 22-30 BR ANTONIA SANTOS,FAVORABLE,PULPAS DE FRUTAS
342,1 ACTIVO,SANTANDER,BUCARAMANGA,ORTIZ Y COMPAÑIA SAS-COLOMBO ALEMANA CHARCUTERIA,9003633569,JORGE ORTIZ DIAZ,CR 34W No 71-67 PROVINCIA DE SOTO I BG 54,FAVORABLE,DERIVADOS CARNICOS FRESCOS
349,1 ACTIVO,SANTANDER,FLORIDABLANCA,DECLOR SAN REMO SAS,9009806853,LEIDY JOHANNA ARIAS LANDINEZ,CR 7 No 9-30 BR PRIMAVERA,FAVORABLE,ESENCIAS;VINAGRE
350,1 ACTIVO,SANTANDER,BUCARAMANGA,PLATA ARGUELLO Y CIA SCA,9001164085,LEONARDO ALFONSO PLATA ARGÜELLO,CR 29 No 34-37 BR LA AURORA,FAVORABLE,PAN VARIEDADES;BIZCOCHOS Y PASTELES
352,1 ACTIVO,SANTANDER,BUCARAMANGA,REFRESCOS SANTANDER SAS,9009742659,JOSE DANIEL POLO RAMIREZ,CL 5 No 19-50 BR COMUNEROS,FAVORABLE,AGUA POTABLE TRATADA;HIELO;REFRESCOS DE AGUA
356,1 ACTIVO,SANTANDER,BUCARAMANGA,PRODUCTORA DE ALIMENTOS ALINA SAS,8040160798,MARGARITA GARRIDO RUEDA,CR 19 No 5-21 BR COMUNEROS,FAVORABLE,QUESOS FRESCOS
359,1 ACTIVO,SANTANDER,BUCARAMANGA,PRODUCTOS M Y M LIMITADA,8040086066,JAVIER MALDONADO MALDONADO,CR 19 No 5-50 BR COMUNEROS,FAVORABLE CON OBSERVACIONES,VINOS;APERITIVOS;LICORES
360,1 ACTIVO,SANTANDER,BUCARAMANGA,PRODUCTOS VICKY SAS,9006491443,JULIO CESAR RUIZ CASTELLANOS,CR 21 No 48-35,FAVORABLE,SNACKS
364,1 ACTIVO,SANTANDER,BUCARAMANGA,RAMIREZ ACUÑA ANGELO-TOSTADORA DE CAFE EL ARRIERO,912326916,ANGELO RAMIREZ ACUÑA,CR 21 No 6-49 BR COMUNEROS,FAVORABLE,CAFE TOSTADO Y MOLIDO
366,1 ACTIVO,SANTANDER,BUCARAMANGA,RENOGA CELIS EVER PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO PANADERIA CINCO ESQUINAS,914957145,EVER RENOGA CELIS,CR 14 No 0-4 BR SAN RAFAEL BAJO NORTE,FAVORABLE,PAN
369,1 ACTIVO,SANTANDER,BUCARAMANGA,REYES LOPEZ CARLOS JULIO - MOLINOS EL AGUILA,138364618,CARLOS JULIO REYES LOPEZ,CR 15 No 8-05 BR COMUNEROS,FAVORABLE,HARINAS;GRANOS ENTEROS
370,1 ACTIVO,SANTANDER,BUCARAMANGA,RIAÑO SANCHEZ JHON EDINSON-LACTEOS LAS CAMELIAS,10958031635,JHON EDINSON RIAÑO SANCHEZ,CR 21 No 13-36 BR SAN FRANCISCO,FAVORABLE,QUESOS FRESCOS
371,1 ACTIVO,SANTANDER,BUCARAMANGA,RINCON ARDILA ALFONSO-PANADERIA TRES ESTRELLAS,56264331,ALFONSO RINCON ARDILA,CR 16 No 9-21 BR COMUNEROS,FAVORABLE,PAN
372,1 ACTIVO,SANTANDER,BUCARAMANGA,RODRIGUEZ VILLAMIZAR JORGE ENRIQUE-ROSQUETES DE SILOS,55044051,JORGE ENRIQUE RODRIGUEZ VILLAMIZAR,CL 112 No 22-24 BR PROVENZA,FAVORABLE,PANADERIA DULCE
373,1 ACTIVO,SANTANDER,BUCARAMANGA,YEINER JAVIER ROJAS ALVARADO - PANADERIA Y BIZCOCHERIA NORTYPAN,10986743749,YEINER JAVIER ROJAS ALVARADO,CR 11 No 5-06 BR SAN RAFAEL,FAVORABLE,PAN
376,1 ACTIVO,SANTANDER,BUCARAMANGA,RUEDA CADENA ALFONSO-MILKY HELADOS HELIO,138420451,ALFONSO RUEDA CADENA,CR 26 N0 9-75 BR UNIVERSIDAD,FAVORABLE,HELADOS DE LECHE;HELADOS DE AGUA
378,1 ACTIVO,SANTANDER,BUCARAMANGA,RUEDA RANGEL OLGA LUCIA-DULCES ZAPATOCA,635354560,OLGA LUCIA RUEDA RANGEL,CL 37 No 3A-04 BR LA JOYA,FAVORABLE,DULCE DE LECHE;BOCADILLO DE FRUTA
379,1 ACTIVO,SANTANDER,BUCARAMANGA,SALSAMENTARIA LA HISPANA SAS,8040125475,GREGORIO EDELWAIS NAVA RODRIGUEZ,CR 23 No 7 -28 BR COMUNEROS,FAVORABLE,DERIVADOS CARNICOS FRESCOS
380,1 ACTIVO,SANTANDER,BUCARAMANGA,SALSAMENTARIA RICOSAN SAS,9002848775,HENRY ALEXANDER BELTRAN REYES,CL 12 No 24-17 BR LA UNIVERSIDAD,FAVORABLE,DERIVADOS CÁRNICOS FRESCOS
382,1 ACTIVO,SANTANDER,BUCARAMANGA,SENDA DE SALUD SAS,9007527736,HENRY PINZON SERRANO,CL 11 No 22-30 BR MUTUALIDAD,FAVORABLE,CEREALES PARA EL DESAYUNO;GRANOS ENTEROS
384,1 ACTIVO,SANTANDER,BUCARAMANGA,SILVIA INES DE LAS MERCEDES GUILLERMO RAMIREZ-LA CASITA DE LAS DELICIAS,633284556,SILVIA INES DE LAS MERCEDES GUILLERMO RAMIREZ,CR 24 No 87-68 BR EL DIAMANTE II,FAVORABLE,MANJAR BKANCO
390,1 ACTIVO,SANTANDER,BUCARAMANGA,TOSTADORA DE CAFE BON-AMI LTDA,8902010650,FABIO AUGUSTO PARRA NIÑO,CL 23 No 13-34 BR GIRARDOT,FAVORABLE,CAFE TOSTADO Y MOLIDO;CHOCOLATE DE MESA
392,1 ACTIVO,SANTANDER,BUCARAMANGA,TROPICAL FRESS SA,8040042628,ANGELMIRO SANABRIA SOLER,CL 3 No 1-35 PQ INDUSTRIAL DE BUCARAMANGA II ET,FAVORABLE,DERIVADOS LACTEOS EN POLVO;AVENA
397,1 ACTIVO,SANTANDER,BUCARAMANGA,VESGA BALLESTEROS HERMANOS SAS,9005848733,GERMAN VESGA BALLESTEROS,CR 15 No 7-02 BR COMUNEROS,FAVORABLE,ARROZ
400,1 ACTIVO,SANTANDER,BUCARAMANGA,VILLAMIZAR BARAJAS WILMER MAURICIO-LACTEOS DE GARCIA ROVIRA,10958073930,WILMER MAURICIO VILLAMIZAR BARAJAS,CL 105 No 31-89 BR DIAMANTE I,FAVORABLE,QUESOS FRESCOS (FRACCIONAMIENTO)
401,1 ACTIVO,SANTANDER,BUCARAMANGA,VILLAMIZAR CUELLAR YADIRA MARCELA-CASA VINICOLA VILLA DE JEREZ,10986374922,YADIRA MARCELA VILLAMIZAR CUELLAR,CL 50A No 16-69 BR SAN MIGUEL,FAVORABLE,VINOS;APERITIVOS;LICORES
402,1 ACTIVO,SANTANDER,BUCARAMANGA,VINOS OVIEDO SAS,9006728794,ANA ISABEL OVIEDO GOMEZ,DG 105 No 31-16 LC 1003 PLAZA SATELITE BR DIAMANTE I,FAVORABLE CON OBSERVACIONES,VINOS;APERITIVOS
404,1 ACTIVO,SANTANDER,CARCASI,EVELIO MORA MORA PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO VIVALAC,795177789,EVELIO MORA MORA,CORREGIMIENTO EL TOBAL,FAVORABLE,QUESOS FRESCOS
406,1 ACTIVO,SANTANDER,CHARALA,ALVARO SOLANO HOLGUIN-LA GRANJA CHARALEÑA,137031558,ALVARO SOLANO HOLGUIN,CL 25 No 11-79 BR COMUNEROS,FAVORABLE,QUESOS FRESCOS
408,1 ACTIVO,SANTANDER,CHARALA,LACTEOS TAMACARA SA,8040118579,DIEGO ALEXANDER PINZON SUAREZ,CR 11 No24-36 BR COMUNEROS,FAVORABLE CON OBSERVACIONES,LECHE CRUDA ENFRIADA
414,1 ACTIVO,SANTANDER,CHIPATA,PARDO MURCIA JAIME - EMPACADORA Y DISTRIBUIDORA DE PANELA LOS PARDO,796521827,JAIME PARDO MURCIA,CR 5 No 2-51 BR CENTRO,FAVORABLE,PANELA
416,1 ACTIVO,SANTANDER,CIMITARRA,AGUILAR HELDA-AGUA LA CRISTALINA,632508085,HELDA AGUILAR,CL 10 No 11-29 BR BRISAS DE AGUA FRIA,FAVORABLE,AGUA POTABLE TRATADA
417,1 ACTIVO,SANTANDER,CIMITARRA,ENCISO MANCHOLA JOSE SIGIFREDO-AGUA EL DELFIN,192073036,JOSE SIGIFREDO ENCISO MANCHOLA,CR 5 No 7-50 BR CENTRO,FAVORABLE,AGUA POTABLE TRATADA
419,1 ACTIVO,SANTANDER,CIMITARRA,GUERRERO DURAN WILLIAM-LACTEOS DELILACT,124580319,WILLIAM GUERRERO DURAN,CR 3 No 9-02 BR EL CENTRO,FAVORABLE,QUESOS FRESCOS
421,1 ACTIVO,SANTANDER,CIMITARRA,LACTEOS DE CIMITARRA SA,8040128534,JORGE ALFREDO HERNANDEZ QUIJANO,CR 3 No 3B-20 BR CENTRO,FAVORABLE CON OBSERVACIONES,LECHE CRUDA ENFRIADA
425,1 ACTIVO,SANTANDER,CIMITARRA,VEGA CASTRO EDGAR SAIT-LACTEOS QUESILLOS DE CIMITARRA,40788489,EDGAR SAIT VEGA CASTRO,CR 11 No 10A-21 BR EL DIAMANTE,FAVORABLE,QUESOS FRESCOS
431,1 ACTIVO,SANTANDER,CURITI,MOLINOS GUANENTA SAS,8040120127,JORGE RODRIGUEZ GUALDRON,KM 12 VI SAN GIL-BUCARAMANGA FI EL MORAL VDA LLANO DE NAVAS,FAVORABLE,GRANOS ENTEROS Y TRITURADOS; HARINAS
437,1 ACTIVO,SANTANDER,FLORIDABLANCA,ALEXANDER SIERRA ARIAS - PANADERIA LA ESPIGA DE ORO DE ARATOCA,137241794,ALEXANDER SIERRA ARIAS,CR 6 No 1 - 11 BR CARACOLI,FAVORABLE,PAN
440,1 ACTIVO,SANTANDER,BUCARAMANGA,ARIZA CEPEDA LUDY JOANA-AREPAS DE LA CASA,377257122,LUDY JOANA ARIZA CEPEDA,CL 146B No 44-57 BR PRADOS DEL SUR,FAVORABLE,AREPAS
441,1 ACTIVO,SANTANDER,FLORIDABLANCA,AVSA SA,8902018814,GUILLERMO ERNESTO SERRANO LIEVANO,CL 4 No 5-27 BR EL CENTRO,FAVORABLE,DERIVADOS CARNICOS FRESCOS
442,1 ACTIVO,SANTANDER,FLORIDABLANCA,AVINSA SAS,8000083074,JUAN PABLO SANCHEZ CELI,KM 2 AU FLORIDA - PIEDECUESTA,FAVORABLE,HIELO
445,1 ACTIVO,SANTANDER,FLORIDABLANCA,CELIS MARTINEZ MARIA ESTELLA - DULCERIA CELIS,377954403,MARIA ESTELLA CELIS MARTINEZ,CR 7 No 5-06,FAVORABLE,CARAMELOS BLANDOS
447,1 ACTIVO,SANTANDER,FLORIDABLANCA,CONTRERAS MONTAÑEZ LUPE-CARNES FRIAS DEL CASTILLO,634316441,LUPE CONTRERAS MONTAÑEZ,CL 2B DG 1-04 BR ALTOS DE VILLABEL,FAVORABLE,DERIVADOS CARNICOS FRESCOS
448,1 ACTIVO,SANTANDER,FLORIDABLANCA,GARCIA RAQUEL PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO DELICIAS FLORIDEÑAS Y POSTRES,9004188994,RAQUEL GARCIA,CL 7 No 12-08,FAVORABLE,DULCE DE LECHE;DULCE DE FRUTA
449,1 ACTIVO,SANTANDER,FLORIDABLANCA,EL GUALILO FREE ZONE SAS,9005048154,LEYDI YOHANA RAMIREZ RAMIREZ,KM 3 ANILLO VIAL RIO FRIO ZN FRANCA SANTANDER BG I6,FAVORABLE,CAFE TOSTADO Y MOLIDO
451,1 ACTIVO,SANTANDER,FLORIDABLANCA,GIRONES SA,8902111945,DIANA MARIA BALLESTEROS TELLEZ,CR 9 No 28E-93 BR LA CUMBRE,FAVORABLE,CHOCOLATE DE MESA;SUCEDANEOS DE CHOCOLATE;HARINAS
453,1 ACTIVO,SANTANDER,FLORIDABLANCA,GUERRERO DIAZ ROSA - PASABOCAS ROSA GUERRERO,634870429,ROSA GUERRERO DIAZ,CR 4 E No 26-32 BR LA CUMBRE,FAVORABLE,SNACKSPAPAS Y PLATANOS FRITOS
454,1 ACTIVO,SANTANDER,BUCARAMANGA,GUERRERO ORTIZ LUIS FRANCISCO-PANADERIA MACROOPAN,912369023,LUIS FRANCISCO GUERRERO ORTIZ,CL 47 No 4-28 LAGOS II,FAVORABLE,PAN
455,1 ACTIVO,SANTANDER,FLORIDABLANCA,HIELO Y AGUA ANTARTICO SAS,9002079815,SANDRA LILIANA CHAVEZ GARCES,CR 7 No7-37 BR CASCO ANTIGUO,FAVORABLE,AGUA POTABLE TRATADA;HIELO
456,1 ACTIVO,SANTANDER,FLORIDABLANCA,INDUSTRIAS ALIMENTICIAS BAEZ SAS,9005799281,DARIO BAEZ GUERRERO,VI CORREDOR RIO FRIO CL 210 No 9-731 BG 1,FAVORABLE,PASTA PARA EMPANADAS
457,1 ACTIVO,SANTANDER,FLORIDABLANCA,JIMENEZ VELANDIA CLAUDIA MARCELA-AREQUIPE PURO SANTANDEREANO,10986741237,CLAUDIA MARCELA JIMENEZ VELANDIA,CL 6 No 12-98 BR NUEVO VILLABEL,FAVORABLE,MANJAR BLANCO
459,1 ACTIVO,SANTANDER,FLORIDABLANCA,LOZANO DE ORTIZ DIOCELINA - CONOS SAN ESTEBAN,378366629,DIOCELINA LOZANO DE ORTIZ,CR 4 No 41-12 BR LAGOS II,FAVORABLE,PANADERIA DULCE
460,1 ACTIVO,SANTANDER,FLORIDABLANCA,MARIA DEL ROSARIO CABALLERO - SALSAMENTARIA FLORIDABLANCA,634305044,MARIA DEL ROSARIO CABALLERO TORRES,CL 7 No 6-28 BR CENTRO,FAVORABLE,DERIVADOS CARNICOS FRESCOS
463,1 ACTIVO,SANTANDER,FLORIDABLANCA,MOLINO DE ORIENTE SA,8902006132,GLORIA TRILLOS SIERRA,CL 4 No 4-37 CASCO ANTIGUO,FAVORABLE,HARINA DE TRIGO FORTIFICADA Y SUB;PRODUCTOS
467,1 ACTIVO,SANTANDER,FLORIDABLANCA,ORDUZ ACEROS NIXON IVAN-KCEROS JS,139283307,NIXON IVAN ORDUZ ACEROS,CL 31 No 2E-55 BR LA CUMBRE,FAVORABLE,SNACKS
469,1 ACTIVO,SANTANDER,FLORIDABLANCA,PASIONES FLORIDEÑAS SAS,9003781661,FREDY ALBERTO NIÑO GONZALEZ,CR 5 No 3 - 22,FAVORABLE,DULCE DE LECHE;DULCE DE FRUTA
471,1 ACTIVO,SANTANDER,FLORIDABLANCA,PRODUCTOSALIMENTICIOS TIA TERE SAS,9004405350,FERNANDO FORERO OROZCO,CR 5 No 3 - 30 BR CENTRO,FAVORABLE,PAN
474,1 ACTIVO,SANTANDER,FLORIDABLANCA,SOFIA LEGUIZAMO BARRETO-PRODUCTOS KENCHUS,242295479,SOFIA LEGUIZAMO BARRETO,CL 32 No 8-03 BR CAÑAVERAL PANAMERICANO,FAVORABLE,"SETAS, RAICES Y OTROS VEGETALES"
476,1 ACTIVO,SANTANDER,FLORIDABLANCA,TROPI SWEET SAS,9004422079,ELSA ROJAS PULIDO,CR 31 No 111-09 BR EL DORADO,FAVORABLE,DULCE DE LECHE;GALLETA RELLENA CON DULCE DE LECHE
